image,prediction_epoch2,ref1,ref2,ref3
3242007318_01e82171aa.jpg,a man and a woman stand in front of a restaurant.,Two Asian girls are standing outside a red brick building,Two asian ladies posing for a picture .,Two women standing in front of a large brick building .
697778778_b52090709d.jpg,a man climbing a rock face.,Three climbers on rocks near waterfall .,Three men climb a natural waterfall rock face .,Three men in matching outfits climb a rock wall next to a waterfall .
361183669_52be9662b9.jpg,a group of people on a boat in the water.,people are getting ready to set sail on a boat,People on a boat carrying equipment .,Three men prepare to set sail on a sailboat .
2707873672_15e6b5d54b.jpg,a man in a brown shirt is doing a trick on a skateboard while another man in a,Two boys wearing brown shirts tug at a rope on a wooden platform .,Two boys with red hair and glasses stand on a table and fight .,Two redheaded boys in brown shirts stand on a table and are fighting with sticks .
2327088022_478dbd2c17.jpg,a man in a red helmet is climbing a snowy mountain.,A man climbing an icy glacier with the assistance of a pick .,A man donning an orange helmet is climbing up a white glacier .,A man is chiseling into ice .
3374384485_751f719be4.jpg,a bicyclist is doing a trick in a wooded area.,A boy on a bicycle in midair after going off of a wooden ramp .,a man jumping off a ramp in a bike,A person jumping their bike in the woods in front of trees with no leaves .
3057497487_57ecc60ff1.jpg,a man is playing a guitar in a store.,a closeup into a large unique type plan with a lone woman in the center .,A person sitting in an airplane display .,A woman is sitting in a white bi-plane that hangs from the roof of an air museum .
3357416302_fcfcdd7b86.jpg,a snowboarder doing a trick on a ski slope.,A snowboarder clothed in red is in the middle of a jump from a snowy hill .,A snowboarder in midair,A snowboarder is doing a big jump and is in the air .
3595398879_13e33b8916.jpg,a boy in a blue shirt is jumping on a rock while another boy in a blue shirt watches,A little boy jumps into the mans arms .,A young boy in a baseball cap jumps into the arms of a man wearing a blue shirt .,A young boy in a blue shirt and cap is jumping into a man 's arms .
3321516504_5ee97771cb.jpg,a man in a black jacket is holding a baby.,A man holds a sleeping baby with a yellow blanket .,A man in a black shirt and hat holding a sleeping baby with a yellow afghan .,A man in a hat sits on a sofa with an infant .
